wl,n
0.3612,1.4065
0.3650,1.4057
0.4063,1.3995
0.4358,1.3955
0.4700,1.3921
0.4806,1.3911
0.5086,1.3891
0.5461,1.3871
0.5780,1.3853
0.6439,1.3830
