wl,n
0.3612,1.4111
0.3650,1.4103
0.4063,1.4041
0.4358,1.4001
0.4700,1.3967
0.4806,1.3957
0.5086,1.3937
0.5461,1.3918
0.5780,1.3900
0.6439,1.3876
